Order_Form_ID;Customer_Name;Article_Number;Article_Name;Invoice_Date;PickAndPay;Revenue;Calendar_week;Amount
121677bf37ee1d49f2b8c8130782f010;A;107833901;HYSYN V32 FOOD H1 20L;2016-01-20;0;21905.23;3;40.0
937ab0c19dacc79cd006619b0b2d8fe5;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2016-01-22;1;65624.16;3;12.0
37640ab8e3337432bd528218154d6bf6;A;107833901;HYSYN V32 FOOD H1 20L;2016-02-08;0;21027.76;6;40.0
e7881d01cb9dd52b91d1f441dfddae15;A;116904600;COLOUR FOR BOARD MARKING QUAL.NR.7100-93;2016-02-25;0;40676.54;8;50.0
e7f1939e08dc5f24b87eaab0ad64726e;A;101706100;LOCK TENSIONER GR.700;2016-03-11;0;4817.39;10;2.0
e7f1939e08dc5f24b87eaab0ad64726e;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2016-03-11;0;192.37;10;1.0
b48f999af3c21ab1f329cb2ab8741ea2;A;150011;"FLAT PACKING 3/4""/ 27X38X2";2016-04-25;1;230.84;17;6.0
b48f999af3c21ab1f329cb2ab8741ea2;A;153532100;Y-PLUG CONNECTOR D-4;2016-04-25;1;280.3;17;1.0
b48f999af3c21ab1f329cb2ab8741ea2;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2016-04-25;1;109373.61;17;20.0
b48f999af3c21ab1f329cb2ab8741ea2;A;107254210;FELT 46X35X10MM;2016-04-25;1;3231.74;17;168.0
b48f999af3c21ab1f329cb2ab8741ea2;A;103379420;PROXIMITY SWITCH 10-30V,DC200MA;2016-04-25;1;5908.37;17;1.0
b48f999af3c21ab1f329cb2ab8741ea2;A;281400020;MOTOR PROTECTION SWITCH BREITE 22,5MM;2016-04-25;1;7145.01;17;1.0
429109ef0c8324261350df412aaf71ad;A;P030PA001;PACKING;2016-05-02;1;192.37;18;1.0
429109ef0c8324261350df412aaf71ad;A;P030FR001;FREIGHT CHARGES;2016-05-02;1;1209.16;18;1.0
b4b2358e7808321862139c81f8b0a011;A;P030PA001;PACKING;2016-05-02;1;-192.37;18;-1.0
b4b2358e7808321862139c81f8b0a011;A;P030FR001;FREIGHT CHARGES;2016-05-02;1;-1209.16;18;-1.0
18c21045b713b2007a115084efa2a2f8;A;P030PA001;PACKING;2016-05-03;1;192.37;18;1.0
18c21045b713b2007a115084efa2a2f8;A;P030FR001;FREIGHT CHARGES;2016-05-03;1;1209.16;18;1.0
82b775a74843c4c213280d9e784314df;A;100335702;BACOMIN V42-50 UNIVERSAL 400ML;2016-05-24;0;26127.38;21;10.0
82b775a74843c4c213280d9e784314df;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2016-05-24;0;192.37;21;1.0
54dc94decc7b4a11d9fba2ad0a8880fb;A;109888055;KNIFE 2540X30X8 AB2500;2016-07-04;1;147626.89;27;2.0
097e647a3e189d1532da809324be892f;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2016-07-25;1;38280.76;30;7.0
097e647a3e189d1532da809324be892f;A;109612502;SEALING LEDGE 5,5X65X2665;2016-07-25;1;1291.6;30;1.0
097e647a3e189d1532da809324be892f;A;111125303;GLUE DAM JOINT 3X260X220;2016-07-25;1;5606.08;30;2.0
097e647a3e189d1532da809324be892f;A;111125199;GLUE DAM JOINT 3X128X197;2016-07-25;1;1621.37;30;1.0
097e647a3e189d1532da809324be892f;A;111125198;GLUE DAM JOINT 3X128X197;2016-07-25;1;1621.37;30;1.0
166029def7609ff8626c642b55585245;A;199902;CARBON PAPER 195X20,2-FACH;2016-08-31;0;5667.09;35;10.0
166029def7609ff8626c642b55585245;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2016-08-31;0;192.37;35;1.0
12b45b044d1e8a7aa09210f72c9bce5f;A;111125198;GLUE DAM JOINT 3X128X197;2016-09-08;0;5053.72;36;3.0
12b45b044d1e8a7aa09210f72c9bce5f;A;111125199;GLUE DAM JOINT 3X128X197;2016-09-08;0;5033.38;36;3.0
12b45b044d1e8a7aa09210f72c9bce5f;A;111125303;GLUE DAM JOINT 3X260X220;2016-09-08;0;11923.65;36;4.0
12b45b044d1e8a7aa09210f72c9bce5f;A;118308700;PACKING CHARGES (CARTON) 330X163X172 MM;2016-09-08;0;192.37;36;1.0
d3c8e9a085d4339cb9ce0badb63ef6b1;A;199902;CARBON PAPER 195X20,2-FACH;2016-09-14;0;3957.24;37;10.0
d3c8e9a085d4339cb9ce0badb63ef6b1;A;P030FR001;FREIGHT CHARGES;2016-09-14;0;1709.86;37;1.0
d3c8e9a085d4339cb9ce0badb63ef6b1;A;P030PA001;PACKING;2016-09-14;0;192.37;37;1.0
5509047cc50b61ed017e59050553422f;A;199902;CARBON PAPER 195X20,2-FACH;2016-09-14;0;-3957.24;37;-10.0
5509047cc50b61ed017e59050553422f;A;P030FR001;FREIGHT CHARGES;2016-09-14;0;-1709.86;37;-1.0
5509047cc50b61ed017e59050553422f;A;P030PA001;PACKING;2016-09-14;0;-192.37;37;-1.0
ed0f735ddf2e20366fd60c1a586c0365;A;199902;CARBON PAPER 195X20,2-FACH;2016-09-14;0;3957.24;37;10.0
ed0f735ddf2e20366fd60c1a586c0365;A;P030FR001;FREIGHT CHARGES;2016-09-14;0;1709.86;37;1.0
ed0f735ddf2e20366fd60c1a586c0365;A;P030PA001;PACKING;2016-09-14;0;192.37;37;1.0
99606058cb30c10a19f8c6ecd9e6960e;A;511387.01;BRUSH 2,0X400X510;2016-09-19;0;39268.97;38;10.0
99606058cb30c10a19f8c6ecd9e6960e;A;102955404;BRUSH 1,0X300X510;2016-09-19;0;29124.71;38;10.0
99606058cb30c10a19f8c6ecd9e6960e;A;206103704;BRUSH 1,5X250X510;2016-09-19;0;67838.29;38;10.0
99606058cb30c10a19f8c6ecd9e6960e;A;110680400;PACKING CHARGES (PAL-BOX I) 830X580X680;2016-09-19;0;1099.23;38;1.0
0d7beed9e0112dc0af409ce6e6c20cca;A;100335700;BACOMIN V42-50 UNIVERSAL 500ML/BACOMIN V;2016-09-20;0;26325.24;38;10.0
0d7beed9e0112dc0af409ce6e6c20cca;A;V00000025;PACKING CHARGES (CARTON);2016-09-20;0;192.37;38;1.0
94800d947ba4b60722b2f935a6a5bd60;A;127811060;MODULE S7/ET200S/4DO DC24V/0,5A;2016-09-21;0;3938.0;38;3.0
94800d947ba4b60722b2f935a6a5bd60;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2016-09-21;0;192.37;38;1.0
f1574569db97885e9910e915ba5a046c;A;127811050;MODULE S7/ET200S/4DI DC24V;2016-09-23;0;5336.22;38;6.0
f1574569db97885e9910e915ba5a046c;A;127811032;MODULE 2*6 KLEMMEN;2016-09-23;0;3097.64;38;6.0
f1574569db97885e9910e915ba5a046c;A;118308700;PACKING CHARGES (CARTON) 330X163X172 MM;2016-09-23;0;192.37;38;1.0
44f704716e6b9bffc3c3ddf06a2df4b0;A;199902;CARBON PAPER 195X20,2-FACH;2016-09-27;0;-3957.24;39;-10.0
44f704716e6b9bffc3c3ddf06a2df4b0;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2016-09-27;0;-192.37;39;-1.0
44f704716e6b9bffc3c3ddf06a2df4b0;A;P030FR001;FREIGHT CHARGES;2016-09-27;0;-1709.86;39;-1.0
402e187a811515697ecd743a091d40e3;A;137130;FLANGED BEARING WITH FOUR HOLES 45X155X4;2016-10-05;0;15680.82;40;6.0
402e187a811515697ecd743a091d40e3;A;110991003;PACKING CHARGES (CARTON) 360X360X250;2016-10-05;0;192.37;40;1.0
a3875277c330b0893642facb9ccea1f6;A;153576601;TABLE;2016-10-05;0;28078.51;40;3.0
a3875277c330b0893642facb9ccea1f6;A;118308700;PACKING CHARGES (CARTON) 330X163X172 MM;2016-10-05;0;192.37;40;1.0
91cb632299caf82b3ed6778120af7f42;A;102955409;BRUSH 1,0X150X510;2016-10-12;0;29386.6;41;5.0
91cb632299caf82b3ed6778120af7f42;A;110991006;PACKING CHARGES (CARTON) 700X200X200;2016-10-12;0;192.37;41;1.0
71f44da1049337429c5f97e15a5bed92;A;150011;"FLAT PACKING 3/4""/ 27X38X2";2016-11-07;1;115.42;45;3.0
71f44da1049337429c5f97e15a5bed92;A;185620;TOOTHED BELT HTD 30X8X640;2016-11-07;1;846.41;45;2.0
71f44da1049337429c5f97e15a5bed92;A;103560705;BELT 80X1720X 3;2016-11-07;1;9233.55;45;6.0
71f44da1049337429c5f97e15a5bed92;A;103560727;BELT 80X3X2530,0;2016-11-07;1;9480.88;45;5.0
71f44da1049337429c5f97e15a5bed92;A;106566766;LOCKING PLATE FUER D=16;2016-11-07;1;167.63;45;2.0
71f44da1049337429c5f97e15a5bed92;A;107254210;FELT 46X35X10MM;2016-11-07;1;13465.59;45;700.0
71f44da1049337429c5f97e15a5bed92;A;107969300;EMERGENCY STOP MODULE 24VDC/220VAC;2016-11-07;1;15719.02;45;2.0
71f44da1049337429c5f97e15a5bed92;A;109611300;PRESSURE SPRING 1,50X10,5X55,0;2016-11-07;1;79.42;45;1.0
71f44da1049337429c5f97e15a5bed92;A;109612502;SEALING LEDGE 5,5X65X2665;2016-11-07;1;5166.39;45;4.0
71f44da1049337429c5f97e15a5bed92;A;110658000;TOOTHED BELT 15X 5X 500;2016-11-07;1;280.3;45;1.0
71f44da1049337429c5f97e15a5bed92;A;111125303;GLUE DAM JOINT 3X260X220;2016-11-07;1;5606.08;45;2.0
71f44da1049337429c5f97e15a5bed92;A;113463300;RUBBER SPONGE CORD D=15;2016-11-07;1;79.42;45;1.0
71f44da1049337429c5f97e15a5bed92;A;114519400;SUPPORT RING SG38.8X45X1.4G;2016-11-07;1;1261.37;45;3.0
71f44da1049337429c5f97e15a5bed92;A;118550500;O-RING 90,00X2,00;2016-11-07;1;79.42;45;1.0
71f44da1049337429c5f97e15a5bed92;A;122356100;"FLAT PACKING 1""";2016-11-07;1;158.84;45;2.0
71f44da1049337429c5f97e15a5bed92;A;123052320;NO-CRUSH-ROLLER 165X65X50;2016-11-07;1;9013.7;45;16.0
71f44da1049337429c5f97e15a5bed92;A;123596200;SPACER RING L49XID70XW4;2016-11-07;1;1912.66;45;24.0
71f44da1049337429c5f97e15a5bed92;A;130241404;TOOTHED BELT ATP 50X10X1150;2016-11-07;1;4891.58;45;2.0
71f44da1049337429c5f97e15a5bed92;A;148143400;HOOK BELT FASTENER G006-SS-600W;2016-11-07;1;6595.39;45;4.8
71f44da1049337429c5f97e15a5bed92;A;163270925;SCRAPER BLADE CORRUDUR® 2550X50X1,5;2016-11-07;1;3022.89;45;2.0
71f44da1049337429c5f97e15a5bed92;A;163600425;SCRAPER BLADE 2560X50X1,5;2016-11-07;1;4177.08;45;2.0
71f44da1049337429c5f97e15a5bed92;A;163600451;SCRAPER BLADE 2560X50X1,5;2016-11-07;1;4561.81;45;2.0
71f44da1049337429c5f97e15a5bed92;A;181300.02;SEAL D116X99X2;2016-11-07;1;2044.57;45;6.0
71f44da1049337429c5f97e15a5bed92;A;136481820;NO-CRUSH-ROLLER 180X65X50;2016-11-07;1;13671.7;45;25.0
227759ba4a23878997919012fdd82ad8;A;P030FR001;FREIGHT CHARGES;2016-11-09;1;5825.93;45;1.0
227759ba4a23878997919012fdd82ad8;A;P030PA001;PACKING;2016-11-09;1;1099.23;45;1.0
24b260b1048e912e6c91d6475f47941c;A;116904600;COLOUR FOR BOARD MARKING QUAL.NR.7100-93;2016-11-17;0;42311.37;46;50.0
6e0f4172eb1a100666778826c03b8e87;A;107969300;EMERGENCY STOP MODULE 24VDC/220VAC;2016-11-17;1;-15719.02;46;-2.0
6e0f4172eb1a100666778826c03b8e87;A;123052320;NO-CRUSH-ROLLER 165X65X50;2016-11-17;1;-9013.7;46;-16.0
d1c260f8877e3f5abe6a0169519883dc;A;140957603;LUBRICATION CARTRIDGE 120-ML;2016-12-01;0;5531.89;48;2.0
d1c260f8877e3f5abe6a0169519883dc;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2016-12-01;0;192.37;48;1.0
d697fae4f9be8bb3e778e6bf75908d3b;A;107969300;EMERGENCY STOP MODULE 24VDC/220VAC;2016-12-05;1;-15719.02;49;-2.0
d697fae4f9be8bb3e778e6bf75908d3b;A;123052320;NO-CRUSH-ROLLER 165X65X50;2016-12-05;1;-9013.7;49;-16.0
576b95402407c984bab0cf0e80d9d626;A;111537822;RELAY 2WE/24VDC/8A;2016-12-05;1;138.78;49;1.0
576b95402407c984bab0cf0e80d9d626;A;127811010;METERING UNIT S7/ET200S/1COUNT 5V/500KH;2016-12-05;1;6842.72;49;1.0
576b95402407c984bab0cf0e80d9d626;A;127811043;ANALOG INPUT/OUTPUT S7/ET200S/2*AI/4DMU;2016-12-05;1;4369.45;49;1.0
576b95402407c984bab0cf0e80d9d626;A;127811050;MODULE S7/ET200S/4DI DC24V;2016-12-05;1;3407.62;49;4.0
576b95402407c984bab0cf0e80d9d626;A;127811052;DIGITAL IN/OUTPUT;2016-12-05;1;8409.13;49;3.0
576b95402407c984bab0cf0e80d9d626;A;155470310;EMERGENCY STOP MODULE 8I/24 VDC;2016-12-05;1;5578.6;49;1.0
576b95402407c984bab0cf0e80d9d626;A;155470321;EMERGENCY STOP MODULE 24 VDC 3Q;2016-12-05;1;7199.97;49;1.0
1bb4f8963f9b889c5859008c6755a467;A;100335702;BACOMIN V42-50 UNIVERSAL 400ML;2016-12-06;0;26177.12;49;10.0
1bb4f8963f9b889c5859008c6755a467;A;V00000025;PACKING CHARGES (CARTON);2016-12-06;0;192.37;49;1.0
f1b50364ff5714abd6d557500aee60d1;A;P030PA001;PACKING;2016-12-08;1;192.37;49;1.0
f1b50364ff5714abd6d557500aee60d1;A;P030FR001;FREIGHT CHARGES;2016-12-08;1;439.69;49;1.0
3318c5ccb540c41074270abbb569481b;A;107969300;EMERGENCY STOP MODULE 24VDC/220VAC;2016-12-05;1;15719.02;49;2.0
3318c5ccb540c41074270abbb569481b;A;123052320;NO-CRUSH-ROLLER 165X65X50;2016-12-05;1;9013.7;49;16.0
8bf30a11b450a56cfdfc52c13cf15214;A;163270925;SCRAPER BLADE CORRUDUR® 2550X50X1,5;2016-12-15;1;-3022.89;50;-2.0
8bf30a11b450a56cfdfc52c13cf15214;A;163600425;SCRAPER BLADE 2560X50X1,5;2016-12-15;1;-4177.08;50;-2.0
e13259d1edc5c80a618821fec8806a7e;A;137663;RADIAL SHAFT SEAL A  80,0X100X10;2016-12-21;1;79.42;51;1.0
e13259d1edc5c80a618821fec8806a7e;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2016-12-21;1;43749.44;51;8.0
80ad8925406f40cf8f0e4753b5a54581;A;125395110;PRESSURE SENSOR;2016-12-27;0;18961.76;52;2.0
80ad8925406f40cf8f0e4753b5a54581;A;P030PA001;PACKING;2016-12-27;0;192.37;52;1.0
80ad8925406f40cf8f0e4753b5a54581;A;P030FR001;FREIGHT CHARGES;2016-12-27;0;439.69;52;1.0
95670eebd3fd117f6b22641844de87c8;A;P030FR001;FREIGHT CHARGES;2016-12-31;0;1509.8;52;1.0
95670eebd3fd117f6b22641844de87c8;A;P030PA001;PACKING;2016-12-31;0;192.37;52;1.0
b60553947335151e397adfd5808b781f;A;116904600;COLOUR FOR BOARD MARKING QUAL.NR.7100-93;2017-01-04;0;42311.37;1;50.0
5dfb1ac0a1c5ab7f4362eefc6f8b169b;A;108508399;PRESSURE SHOE, COMPLETE;2017-01-13;0;33044.02;2;33.0
5dfb1ac0a1c5ab7f4362eefc6f8b169b;A;118308700;PACKING CHARGES (CARTON) 330X163X172 MM;2017-01-13;0;192.37;2;1.0
b76bc4e91b273a6b475d6898b973069c;A;P030FR001;FREIGHT CHARGES;2017-01-23;1;1454.83;4;1.0
b76bc4e91b273a6b475d6898b973069c;A;P030PA001;PACKING;2017-01-23;1;192.37;4;1.0
b8d237a0e1740841dc8d400d34a8a8a7;A;P030FR001;FREIGHT CHARGES;2017-01-23;1;-1454.83;4;-1.0
b8d237a0e1740841dc8d400d34a8a8a7;A;P030PA001;PACKING;2017-01-23;1;-192.37;4;-1.0
58903eff6835ad955ea73a5ebf8cf9d0;A;111537822;RELAY 2WE/24VDC/8A;2017-01-24;0;138.78;4;1.0
58903eff6835ad955ea73a5ebf8cf9d0;A;127811010;METERING UNIT S7/ET200S/1COUNT 5V/500KH;2017-01-24;0;6842.72;4;1.0
58903eff6835ad955ea73a5ebf8cf9d0;A;127811043;ANALOG INPUT/OUTPUT S7/ET200S/2*AI/4DMU;2017-01-24;0;4369.45;4;1.0
58903eff6835ad955ea73a5ebf8cf9d0;A;127811050;MODULE S7/ET200S/4DI DC24V;2017-01-24;0;3407.62;4;4.0
58903eff6835ad955ea73a5ebf8cf9d0;A;155470310;EMERGENCY STOP MODULE 8I/24 VDC;2017-01-24;0;5578.6;4;1.0
58903eff6835ad955ea73a5ebf8cf9d0;A;155470321;EMERGENCY STOP MODULE 24 VDC 3Q;2017-01-24;0;7199.97;4;1.0
58903eff6835ad955ea73a5ebf8cf9d0;A;127811052;DIGITAL IN/OUTPUT;2017-01-24;0;8409.13;4;3.0
58903eff6835ad955ea73a5ebf8cf9d0;A;P030FR001;FREIGHT CHARGES;2017-01-24;0;604.58;4;1.0
afae4a7e08b2b0777bc119b769758bfd;A;P030FR001;FREIGHT CHARGES;2017-01-24;1;1454.83;4;1.0
afae4a7e08b2b0777bc119b769758bfd;A;P030PA001;PACKING;2017-01-24;1;192.37;4;1.0
d71825986d946fc814a4c1bd442933c8;A;P030PA001;PACKING;2017-01-25;1;192.37;4;1.0
d71825986d946fc814a4c1bd442933c8;A;P030FR001;FREIGHT CHARGES;2017-01-25;1;439.69;4;1.0
4750d0cf12652d2412fa4a3cf57d8ab7;A;111138400;COUNTERSUNK SCREW M4X10;2017-02-02;0;47.54;5;2.0
4750d0cf12652d2412fa4a3cf57d8ab7;A;111125400;LEDGE 8X8X95;2017-02-02;0;1497.43;5;2.0
4750d0cf12652d2412fa4a3cf57d8ab7;A;110597400;ECCENTRIC DISK RD.15X10;2017-02-02;0;657.34;5;2.0
4750d0cf12652d2412fa4a3cf57d8ab7;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2017-02-02;0;192.37;5;1.0
2fece2d8dc1004763c27b262ebec2ce7;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2017-02-03;1;38280.76;5;7.0
2fece2d8dc1004763c27b262ebec2ce7;A;105406991;GRINDING WHEEL 50X11X19MM;2017-02-03;1;5386.24;5;4.0
2fece2d8dc1004763c27b262ebec2ce7;A;114519400;SUPPORT RING SG38.8X45X1.4G;2017-02-03;1;840.91;5;2.0
2fece2d8dc1004763c27b262ebec2ce7;A;124352302;TRANSMITTER 11-27 VDC;2017-02-03;1;16406.04;5;1.0
2fece2d8dc1004763c27b262ebec2ce7;A;178188401;LIGHT BARRIER 24 VDC;2017-02-03;1;3737.39;5;1.0
69caf411c04d0db487e6d86f74bc0aa9;A;108390410;CARBON BRUSH;2017-02-12;0;25867.68;6;12.0
69caf411c04d0db487e6d86f74bc0aa9;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2017-02-12;0;192.37;6;1.0
71fde42e40801c2c94bd128e75719af1;A;111537822;RELAY 2WE/24VDC/8A;2017-02-18;0;-138.78;7;-1.0
71fde42e40801c2c94bd128e75719af1;A;127811010;METERING UNIT S7/ET200S/1COUNT 5V/500KH;2017-02-18;0;-6842.72;7;-1.0
71fde42e40801c2c94bd128e75719af1;A;127811043;ANALOG INPUT/OUTPUT S7/ET200S/2*AI/4DMU;2017-02-18;0;-4369.45;7;-1.0
71fde42e40801c2c94bd128e75719af1;A;127811050;MODULE S7/ET200S/4DI DC24V;2017-02-18;0;-3407.62;7;-4.0
71fde42e40801c2c94bd128e75719af1;A;155470310;EMERGENCY STOP MODULE 8I/24 VDC;2017-02-18;0;-5578.6;7;-1.0
71fde42e40801c2c94bd128e75719af1;A;155470321;EMERGENCY STOP MODULE 24 VDC 3Q;2017-02-18;0;-7199.97;7;-1.0
71fde42e40801c2c94bd128e75719af1;A;127811052;DIGITAL IN/OUTPUT;2017-02-18;0;-8409.13;7;-3.0
71fde42e40801c2c94bd128e75719af1;A;P030FR001;FREIGHT CHARGES;2017-02-18;0;-604.58;7;-1.0
6d052824b4a734c034ed9dfc834d6e60;A;104581595;BRAKE LINING CORRUDUR® 64X5X10;2017-02-23;1;4946.55;8;8.0
6d052824b4a734c034ed9dfc834d6e60;A;103560703;BELT 80X2450X3;2017-02-23;1;9755.69;8;5.0
8eebc9cd68f214aea9da1faab10637d9;A;P030FR001;FREIGHT CHARGES;2017-02-27;1;1471.6;9;1.0
8eebc9cd68f214aea9da1faab10637d9;A;P030PA001;PACKING;2017-02-27;1;192.37;9;1.0
9482895400cf3a9f73962665e898b742;A;104581551;CALIPER OF THE DISK BRAKE;2017-03-20;0;24033.06;12;2.0
9482895400cf3a9f73962665e898b742;A;104581528;SPRING;2017-03-20;0;2244.36;12;8.0
9482895400cf3a9f73962665e898b742;A;104581529;SEALING RING 60X  50X  7;2017-03-20;0;13224.04;12;16.0
9482895400cf3a9f73962665e898b742;A;104230500;FOAM RUBBER 60X12X2600;2017-03-20;0;828.82;12;2.0
9482895400cf3a9f73962665e898b742;A;107440100;NAP FOIL 120 MM BR/25 M;2017-03-20;0;11562.82;12;25.0
9482895400cf3a9f73962665e898b742;A;511387.01;BRUSH 2,0X400X510;2017-03-20;0;41205.0;12;10.0
9482895400cf3a9f73962665e898b742;A;110680400;PACKING CHARGES (PAL-BOX I) 830X580X680;2017-03-20;0;1099.23;12;1.0
31f2b58c6ac6f6028002fc8708b42be9;A;209361702;FABRIC TAPE 120 MM BREIT;2017-03-20;0;6544.55;12;3.0
31f2b58c6ac6f6028002fc8708b42be9;A;110991002;PACKING CHARGES (CARTON) 300X300X200;2017-03-20;0;192.37;12;1.0
30e7d839180362977b0b1ebfa5f12ba5;A;111743300;HYSYN V150 CUT H1 CORRULUB® 20L;2017-03-20;0;53420.49;12;60.0
30722b576e758596725538b02a2bfca1;A;121010690;"SET OF SEALS K=1 1/2""";2017-03-29;0;83027.76;13;3.0
30722b576e758596725538b02a2bfca1;A;110991001;PACKING CHARGES (CARTON) 200X200X150;2017-03-29;0;192.37;13;1.0
7b5a3181099f8eea989051ecd8a5cff3;A;108079901;CLAMPING ELEMENT;2017-04-05;0;4400.78;14;2.0
7b5a3181099f8eea989051ecd8a5cff3;A;110991000;PACKING CHARGES (CARTON) 200X200X80;2017-04-05;0;192.37;14;1.0
68a9218aaf56cd5653d4cc8913d15854;A;553374;SEALING ELEMENT RAD.288.5X260;2017-04-21;0;2409.24;16;2.0
68a9218aaf56cd5653d4cc8913d15854;A;118308700;PACKING CHARGES (CARTON) 330X163X172 MM;2017-04-21;0;192.37;16;1.0
688418c867f9b3a90c8d812c02c93391;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2017-04-21;1;76561.53;16;14.0
688418c867f9b3a90c8d812c02c93391;A;107254210;FELT 46X35X10MM;2017-04-21;1;11541.94;16;600.0
688418c867f9b3a90c8d812c02c93391;A;105406991;GRINDING WHEEL 50X11X19MM;2017-04-21;1;24238.07;16;18.0
688418c867f9b3a90c8d812c02c93391;A;123052310;NO-CRUSH-ROLLER 165X65X50;2017-04-21;1;4506.85;16;8.0
b2bc3eba8b1f47e4ccb37b51de7307a2;A;P030PA001;PACKING;2017-04-21;1;192.37;16;1.0
b2bc3eba8b1f47e4ccb37b51de7307a2;A;P030FR001;FREIGHT CHARGES;2017-04-21;1;2651.9;16;1.0
eabca22ecd5f746e02659d7945319ef1;A;136481820;NO-CRUSH-ROLLER 180X65X50;2017-04-24;1;13671.7;17;25.0
9c6333d928a6aa8ea42dd3a4f2e52fe6;A;136481820;NO-CRUSH-ROLLER 180X65X50;2017-04-25;1;13671.7;17;25.0
3fcf1ca00fee151f1efd6e8b82fe225d;A;553374;SEALING ELEMENT RAD.288.5X260;2017-04-26;0;3176.78;17;4.0
58b84fe7423bdcd6b7fcd948e2105e7d;A;105303965;DISC CUT KNIFE 240X1,2/0,35MM,20°;2017-04-27;1;54686.8;17;10.0
58b84fe7423bdcd6b7fcd948e2105e7d;A;204231295;KNIFE 1300X50X1.5;2017-04-27;1;8079.36;17;2.0
58b84fe7423bdcd6b7fcd948e2105e7d;A;105073880;KNIFE 2540X28X8 AB2500;2017-04-27;1;26038.06;17;1.0
